N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
1,삼성전자,"81,400","2,100",+2.65%,100,"4,859,403","5,969,783",53.15,"22,745,517",19.54,9.99,
2,SK하이닉스,"120,500","4,500",+3.88%,"5,000","877,243","728,002",48.38,"4,144,035",17.21,9.53,
3,NAVER,"427,500","6,000",-1.38%,100,"702,226","164,263",56.60,"760,342",4.35,15.22,
4,카카오,"144,000","2,000",-1.37%,100,"640,023","444,460",31.87,"2,567,034",209.61,2.70,
5,삼성전자우,"74,100","1,000",+1.37%,100,"609,759","822,887",75.69,"1,426,321",17.79,N/A,
6,삼성바이오로직스,"909,000","4,000",-0.44%,"2,500","601,440","66,165",10.35,"55,937",226.68,N/A,
7,LG화학,"851,000","13,000",-1.50%,"5,000","600,741","70,592",47.31,"202,217",37.05,2.93,
8,삼성SDI,"743,000","4,000",-0.54%,"5,000","510,920","68,765",43.48,"165,586",72.78,4.54,
9,현대차,"223,500","3,500",+1.59%,"5,000","477,548","213,668",28.76,"712,412",27.05,2.04,
10,셀트리온,"264,500","1,000",+0.38%,"1,000","364,789","137,917",20.35,"249,678",60.68,16.68,
11,기아,"85,600",900,+1.06%,"5,000","346,991","405,363",33.21,"1,111,260",15.38,5.05,
12,POSCO,"340,500","19,500",-5.42%,"5,000","296,871","87,187",54.37,"849,943",13.30,3.61,
13,삼성물산,"143,000",500,-0.35%,100,"267,249","186,887",15.04,"391,098",17.03,3.81,
14,현대모비스,"276,000","5,000",+1.85%,"5,000","261,629","94,793",35.61,"280,844",14.73,4.66,
15,LG전자,"156,500",0,0.00%,"5,000","256,109","163,648",31.68,"654,592",14.58,13.23,
16,SK이노베이션,"253,000","3,000",-1.17%,"5,000","233,938","92,466",22.86,"304,729",-23.92,-13.58,
17,LG생활건강,"1,451,000","2,000",-0.14%,"5,000","226,620","15,618",45.49,"29,568",31.28,17.92,
18,SK텔레콤,"305,500","3,500",+1.16%,500,"220,144","72,060",46.53,"103,845",14.07,6.44,
19,KB금융,"51,400",500,+0.98%,"5,000","213,725","415,808",67.15,"954,358",5.35,8.53,
20,신한지주,"38,700",100,+0.26%,"5,000","199,924","516,600",60.04,"962,062",5.43,8.20,
21,SK,"272,500","1,000",+0.37%,200,"191,732","70,360",20.08,"87,128",31.73,1.11,
22,엔씨소프트,"811,000","13,000",-1.58%,500,"178,047","21,954",51.56,"85,895",37.66,20.83,
23,한국전력,"25,300",100,-0.39%,"5,000","162,417","641,964",15.26,"1,684,847",7.91,2.91,
24,SK바이오사이언스,"206,000","9,000",+4.57%,500,"157,590","76,500",4.38,"2,768,770",160.06,13.25,
25,삼성생명,"76,500",700,+0.92%,500,"153,000","200,000",13.03,"260,728",7.20,3.53,
26,HMM,"37,600","1,050",-2.72%,"5,000","152,428","405,392",9.40,"6,897,286",35.64,8.93,
27,SK아이이테크놀로지,"211,000","17,500",-7.66%,"1,000","150,438","71,298",7.91,"833,954",N/A,11.00,
28,LG,"95,600",800,+0.84%,"5,000","150,380","157,301",33.21,"233,464",8.77,7.50,
29,삼성전기,"194,000","3,500",+1.84%,"5,000","144,906","74,694",32.20,"512,281",21.35,10.92,
30,삼성에스디에스,"184,000","1,500",-0.81%,500,"142,375","77,378",11.71,"91,144",22.62,6.71,
31,아모레퍼시픽,"221,500","1,000",+0.45%,500,"129,486","58,458",33.48,"185,256",155.00,0.78,
32,하나금융지주,"42,900",100,+0.23%,"5,000","128,804","300,242",67.59,"861,743",4.57,8.96,
33,포스코케미칼,"153,000","1,000",-0.65%,500,"118,519","77,463",7.84,"165,320",183.89,2.96,
34,넷마블,"135,000","2,000",-1.46%,100,"116,037","85,954",22.74,"1,144,132",36.72,6.35,
35,KT&G,"82,700",100,+0.12%,"5,000","113,541","137,292",37.17,"293,948",9.85,13.22,
36,하이브,"290,500","4,000",-1.36%,500,"113,443","39,051",16.17,"203,608",103.34,12.52,
37,S-Oil,"97,200","1,200",-1.22%,"2,500","109,430","112,583",77.82,"393,311",26.41,-13.07,
38,두산중공업,"20,650","1,150",-5.28%,"5,000","105,623","511,490",5.19,"8,812,516",-11.60,-37.20,
39,삼성화재,"218,000","1,500",+0.69%,500,"103,277","47,375",48.30,"99,413",10.86,4.96,
40,대한항공,"29,650",50,+0.17%,"5,000","103,129","347,821",10.73,"1,211,445",12.68,-7.22,
41,고려아연,"529,000","11,000",-2.04%,"5,000","99,822","18,870",20.28,"68,734",15.48,8.37,
42,SK바이오팜,"123,500",500,-0.40%,500,"96,717","78,313",6.73,"243,319",-179.25,-135.18,
43,롯데케미칼,"270,000","3,500",+1.31%,"5,000","92,544","34,275",26.96,"154,230",12.47,1.22,
44,한국조선해양,"129,500",500,-0.38%,"5,000","91,651","70,773",17.43,"229,659",-9.91,-7.42,
45,KT,"33,650",300,-0.88%,"5,000","87,864","261,112",44.18,"828,606",11.68,4.76,
46,한온시스템,"16,050",300,+1.90%,100,"85,675","533,800",17.88,"659,727",63.44,5.09,
47,LG디스플레이,"22,200",200,+0.91%,"5,000","79,435","357,816",18.18,"1,338,352",23.52,-0.79,
48,우리금융지주,"10,900",50,+0.46%,"5,000","78,727","722,268",27.77,"1,602,110",5.41,5.87,
49,기업은행,"10,300",100,+0.98%,"5,000","76,663","744,301",12.86,"865,909",5.04,6.44,
50,한화솔루션,"38,400",0,0.00%,"5,000","73,451","191,278",16.84,"1,232,838",10.29,5.30,
51,CJ제일제당,"482,000","3,500",+0.73%,"5,000","72,561","15,054",24.97,"45,847",19.39,13.50,
52,현대글로비스,"193,000","3,000",-1.53%,500,"72,375","37,500",34.72,"95,913",12.58,12.45,
53,현대제철,"51,000","2,400",-4.49%,"5,000","68,057","133,446",20.52,"1,712,525",-64.97,-2.59,
54,금호석유,"214,500","9,500",+4.63%,"5,000","65,353","30,468",22.10,"442,699",7.72,20.18,
55,LG유플러스,"14,600",0,0.00%,"5,000","63,745","436,611",33.11,"730,695",12.30,6.46,
56,코웨이,"85,100","1,200",+1.43%,500,"62,803","73,800",59.54,"152,541",14.64,31.51,
57,현대건설,"54,700",300,+0.55%,"5,000","60,912","111,356",20.86,"376,968",49.46,1.84,
58,한국타이어앤테크놀로지,"49,100",350,+0.72%,500,"60,823","123,875",41.69,"163,311",13.53,5.12,
59,SKC,"159,000","1,000",-0.62%,"5,000","60,211","37,868",13.29,"112,870","-2,523.81",2.21,
60,에스디바이오센서,"58,100","2,500",+4.50%,500,"60,001","103,271",1.77,"1,758,671",8.81,139.97,
61,미래에셋증권,"8,900",70,-0.78%,"5,000","56,543","635,316",13.89,"1,071,248",7.09,8.94,
62,강원랜드,"26,200",50,+0.19%,500,"56,052","213,940",18.84,"485,918",-34.89,-7.92,
63,현대중공업지주,"68,700",0,0.00%,"1,000","54,268","78,993",17.17,"119,664",-24.00,-8.12,
64,한국금융지주,"96,100",200,+0.21%,"5,000","53,553","55,726",34.25,"423,823",4.29,16.27,
65,LG이노텍,"223,000","1,500",-0.67%,"5,000","52,778","23,667",31.12,"137,816",12.97,10.20,
66,한미사이언스,"73,100",200,+0.27%,500,"49,200","67,305",1.63,"69,353",177.86,3.47,
67,이마트,"172,500","1,000",+0.58%,"5,000","48,086","27,876",33.57,"234,520",11.90,4.05,
68,아모레G,"57,300",800,-1.38%,500,"47,249","82,458",17.55,"170,138",112.35,0.31,
69,F&F,"613,000",0,0.00%,500,"46,964","7,661",10.11,"23,997",N/A,N/A,
70,오리온,"118,500","1,000",+0.85%,500,"46,850","39,536",38.71,"53,374",17.61,15.50,
71,삼성엔지니어링,"23,450",300,-1.26%,"5,000","45,962","196,000",31.32,"1,555,328",15.81,17.32,
72,맥쿼리인프라,"12,300",0,0.00%,0,"45,780","372,192",15.41,"377,389",N/A,N/A,
73,두산밥캣,"44,050",750,-1.67%,500,"44,160","100,249",26.04,"357,684",13.41,6.15,
74,한진칼,"64,800",200,-0.31%,"2,500","43,247","66,739",14.91,"79,341",-52.77,-19.55,
75,유한양행,"61,700",300,-0.48%,"1,000","43,173","69,973",17.79,"115,288",45.00,11.06,
76,KODEX 200,"43,035",350,+0.82%,0,"42,067","97,750",1.88,"2,489,556",N/A,N/A,
77,DB손해보험,"58,400","1,000",+1.74%,500,"41,347","70,800",43.20,"150,713",6.67,9.08,
78,삼성중공업,"6,540",0,0.00%,"5,000","41,202","630,000",13.79,0,-2.30,-33.06,
79,삼성카드,"34,650",50,-0.14%,"5,000","40,145","115,859",8.31,"119,621",9.45,5.69,
80,GS,"43,050",0,0.00%,"5,000","40,000","92,915",19.24,"144,540",6.32,-2.82,
81,CJ대한통운,"175,000","1,500",-0.85%,"5,000","39,922","22,812",23.11,"47,630",33.25,3.89,
82,쌍용C&E,"7,870",50,-0.63%,100,"39,654","503,860",3.51,"772,325",28.72,7.92,
83,삼성증권,"44,200",50,+0.11%,"5,000","39,471","89,300",28.24,"187,734",5.05,9.89,
84,팬오션,"7,380",40,+0.54%,"1,000","39,451","534,570",10.33,"2,835,502",31.40,3.25,
85,롯데지주,"37,500",350,-0.92%,200,"39,341","104,909",8.49,"143,969",-92.14,-3.03,
86,현대차2우B,"106,500","1,000",+0.95%,"5,000","38,857","36,485",61.09,"66,654",12.89,N/A,
87,한미약품,"320,500","1,000",-0.31%,"2,500","38,711","12,078",12.79,"16,432",164.95,1.65,
88,GS건설,"43,850",50,-0.11%,"5,000","37,527","85,581",26.01,"443,951",10.54,7.68,
89,효성티앤씨,"867,000","1,000",+0.12%,"5,000","37,521","4,328",21.83,"41,922",14.64,25.10,
90,일진머티리얼즈,"78,900","1,100",-1.37%,500,"36,381","46,111",10.03,"297,169",90.48,7.23,
91,호텔신라,"92,600",100,+0.11%,"5,000","36,344","39,248",18.71,"180,027",-17.52,-36.74,
92,GS리테일,"34,700",350,-1.00%,"1,000","36,337","104,718",12.59,"455,954",17.83,7.50,
93,NH투자증권,"12,900",0,0.00%,"5,000","36,302","281,409",17.91,"427,729",4.83,10.32,
94,현대오토에버,"130,500","6,000",+4.82%,500,"35,788","27,424",1.34,"153,442",46.51,11.09,
95,녹십자,"293,000","2,500",-0.85%,"5,000","34,242","11,687",20.71,"31,556",34.20,7.48,
96,대우조선해양,"31,750",450,-1.40%,"5,000","34,065","107,291",7.13,"229,834",-8.72,2.27,
97,신풍제약,"63,800",700,-1.09%,500,"33,804","52,985",8.77,"513,241",741.86,1.72,
98,메리츠증권,"4,955",25,+0.51%,"1,000","33,780","681,731",13.94,"1,163,430",5.48,13.08,
99,한국가스공사,"36,350",500,-1.36%,"5,000","33,556","92,313",6.21,"278,647",-17.10,-2.24,
100,씨에스윈드,"79,300","1,300",-1.61%,500,"33,442","42,171",10.72,"426,157",63.90,8.19,
101,메리츠금융지주,"24,800",200,+0.81%,500,"33,235","134,011",8.04,"156,455",5.81,16.06,
102,한국항공우주,"33,100",300,+0.91%,"5,000","32,264","97,475",13.42,"345,105",418.99,6.39,
103,휠라홀딩스,"52,800",500,+0.96%,"1,000","32,077","60,752",46.35,"227,031",16.85,10.94,
104,두산퓨얼셀,"48,650",550,-1.12%,100,"31,863","65,494",11.98,"386,259",274.86,4.18,
105,현대미포조선,"79,700","2,300",-2.80%,"5,000","31,834","39,942",9.99,"307,500",-97.31,-0.84,
106,한화시스템,"16,850",50,+0.30%,"5,000","31,833","188,919",2.31,"438,790",19.28,9.35,
107,에스원,"82,000","1,200",+1.49%,500,"31,159","37,999",53.73,"87,015",20.85,10.48,
108,키움증권,"117,500",500,-0.42%,"5,000","30,785","26,200",23.25,"64,862",3.14,27.63,
109,포스코인터내셔널,"24,850",700,-2.74%,"5,000","30,659","123,375",13.12,"1,260,232",11.86,7.69,
110,KCC,"345,000","7,500",-2.13%,"5,000","30,658","8,886",11.47,"39,587",3.56,12.79,
111,롯데쇼핑,"108,000",500,-0.46%,"5,000","30,552","28,289",10.35,"53,855",-4.05,-7.70,
112,SK케미칼,"259,500","8,000",+3.18%,"5,000","30,495","11,751",17.70,"146,955",11.77,30.49,
113,한솔케미칼,"269,000","1,500",+0.56%,"5,000","30,492","11,335",41.94,"35,389",23.51,24.50,
114,만도,"64,500","1,200",+1.90%,"1,000","30,287","46,957",23.98,"517,688",65.09,0.37,
115,대우건설,"7,270",10,+0.14%,"5,000","30,216","415,623",9.77,"1,620,271",8.17,11.06,
116,동서,"30,300",100,-0.33%,500,"30,209","99,700",3.42,"54,805",26.42,8.61,
117,LG화학우,"387,000","1,000",-0.26%,"5,000","29,756","7,689",67.21,"10,807",16.85,N/A,
118,메리츠화재,"24,500",100,+0.41%,500,"29,553","120,625",10.80,"419,882",6.20,16.91,
119,한화생명,"3,370",30,-0.88%,"5,000","29,269","868,530",7.13,"2,437,184",6.25,1.90,
120,DB하이텍,"65,900","1,800",+2.81%,"5,000","29,259","44,399",18.36,"1,449,098",18.47,23.07,
121,CJ,"99,400",100,-0.10%,"5,000","29,002","29,177",17.65,"58,795",-262.27,1.89,
122,BGF리테일,"165,500",500,+0.30%,"1,000","28,605","17,284",32.38,"16,615",22.60,18.60,
123,DL이앤씨,"145,500","1,000",+0.69%,"5,000","28,167","19,359",27.93,"118,301",N/A,N/A,
124,제일기획,"24,450",400,+1.66%,200,"28,128","115,041",33.83,"283,972",16.96,16.11,
125,한샘,"118,000","2,500",-2.07%,"1,000","27,770","23,534",19.70,"162,570",37.86,10.83,
126,현대로템,"25,100",250,+1.01%,"5,000","27,395","109,142",4.63,"1,745,526",58.10,2.84,
127,한화에어로스페이스,"53,900",100,-0.19%,"5,000","27,290","50,630",19.91,"629,957",12.22,4.78,
128,OCI,"113,500",500,+0.44%,"5,000","27,069","23,849",14.78,"248,663",-17.79,-9.89,
129,효성첨단소재,"595,000","7,000",+1.19%,"5,000","26,656","4,480",11.00,"89,116",73.44,0.03,
130,신세계,"268,000","1,000",+0.37%,"5,000","26,385","9,845",27.69,"27,748",-82.54,-2.81,
131,현대차우,"108,000","2,000",+1.89%,"5,000","26,305","24,357",58.93,"36,488",13.07,N/A,
132,현대위아,"94,900","1,300",-1.35%,"5,000","25,808","27,195",7.66,"364,928",167.67,1.96,
133,더존비즈온,"84,900","1,000",+1.19%,500,"25,759","30,341",38.91,"132,866",47.27,15.09,
134,BNK금융지주,"7,650",10,-0.13%,"5,000","24,934","325,935",38.18,"892,467",4.34,6.11,
135,효성,"116,500","1,500",-1.27%,"5,000","24,548","21,071",9.45,"146,036",87.07,-2.26,
136,KODEX 단기채권,"102,845",0,0.00%,0,"23,839","23,180",0.00,"8,453",N/A,N/A,
137,하이트진로,"33,800",200,-0.59%,"5,000","23,705","70,134",5.43,"269,024",29.24,8.23,
138,현대해상,"25,750",100,-0.39%,500,"23,020","89,400",27.96,"622,433",6.22,7.13,
139,LS,"70,400",700,-0.98%,"5,000","22,669","32,200",15.20,"127,551",12.40,3.94,
140,한화,"29,800",150,-0.50%,"5,000","22,338","74,959",17.66,"226,817",7.63,4.79,
141,TIGER 200,"43,055",350,+0.82%,0,"22,152","51,450",0.00,"446,878",N/A,N/A,
142,KODEX 200선물인버스2X,"1,920",25,-1.29%,0,"21,857","1,138,400",2.63,"179,015,271",N/A,N/A,
143,현대엘리베이,"53,300",200,-0.37%,"5,000","21,754","40,815",27.68,"340,677",19.44,9.78,
144,대웅,"37,100",350,-0.93%,500,"21,571","58,142",3.63,"116,158",25.07,15.10,
145,코오롱인더,"79,500",0,0.00%,"5,000","21,448","26,979",19.94,"379,995",26.34,9.70,
146,대한전선,"2,465",85,-3.33%,500,"21,112","856,473",3.25,"14,188,399",176.07,0.92,
147,HDC현대산업개발,"30,150",500,-1.63%,"5,000","19,871","65,907",11.27,"391,538",9.60,8.85,
148,농심,"325,500","4,500",-1.36%,"5,000","19,799","6,083",13.74,"31,024",15.38,7.50,
149,대웅제약,"170,000","4,000",-2.30%,"2,500","19,697","11,587",6.04,"74,998",-178.57,2.38,
150,LS ELECTRIC,"65,500","1,700",+2.66%,"5,000","19,650","30,000",14.59,"257,240",24.97,6.15,
151,오뚜기,"535,000","3,000",-0.56%,"5,000","19,645","3,672",12.70,"2,835",20.29,7.93,
152,한전기술,"50,900","1,500",-2.86%,200,"19,454","38,220",1.95,"471,644",116.21,N/A,
153,동국제강,"20,050",600,-2.91%,"5,000","19,134","95,433",21.91,"1,120,548",9.08,3.35,
154,진원생명과학,"41,400",600,-1.43%,"1,000","18,718","45,212",13.77,"2,320,376",-94.74,-30.43,
155,금호타이어,"6,500",120,-1.81%,"5,000","18,672","287,260",4.16,"625,070",-122.64,-6.74,
156,한미반도체,"37,600",150,+0.40%,200,"18,597","49,460",8.90,"711,492",30.72,21.03,
157,현대백화점,"79,400",200,-0.25%,"5,000","18,582","23,402",18.54,"108,899",19.06,1.65,
158,한전KPS,"41,200","1,000",-2.37%,200,"18,540","45,000",8.49,"341,466",17.18,8.23,
159,솔루스첨단소재,"60,600",100,+0.17%,100,"18,537","30,590",8.02,"288,899",-167.40,-5.10,
160,롯데정밀화학,"70,700",500,+0.71%,"5,000","18,241","25,800",19.72,"220,520",9.30,12.65,
161,KODEX 삼성그룹,"10,605",45,+0.43%,0,"18,230","171,900",0.02,"823,450",N/A,N/A,
162,명신산업,"33,200",200,-0.60%,500,"17,420","52,470",1.70,"1,302,278",-14.40,-67.39,
163,영원무역,"38,950",700,-1.77%,500,"17,259","44,311",27.50,"97,927",11.17,8.03,
164,지누스,"108,500","4,500",+4.33%,500,"17,143","15,800",22.76,"132,279",35.81,11.61,
165,한국앤컴퍼니,"18,050",50,+0.28%,500,"17,136","94,935",9.54,"118,632",8.32,5.08,
166,프레스티지바이오파마,"28,150",100,+0.36%,0,"16,917","60,096",63.73,"121,960",-83.78,N/A,
167,KG동부제철,"16,650",200,-1.19%,"5,000","16,651","100,009",1.14,"402,525",18.46,7.18,
168,대한유화,"253,500","3,500",-1.36%,"5,000","16,478","6,500",14.43,"73,462",7.23,6.93,
169,DL,"77,300",400,-0.51%,"5,000","16,199","20,956",15.58,"157,135",4.15,11.84,
170,아이에스동서,"52,400","1,600",-2.96%,500,"16,188","30,893",4.42,"134,209",12.66,10.92,
171,DGB금융지주,"9,260",40,-0.43%,"5,000","15,663","169,146",49.26,"559,703",4.26,6.93,
172,에스엘,"32,200","1,050",-3.16%,500,"15,521","48,203",17.08,"124,258",14.06,4.74,
173,부광약품,"21,700",800,+3.83%,500,"15,421","71,063",3.73,"2,621,039",-163.16,-2.46,
174,두산,"93,000","2,400",-2.52%,"5,000","15,367","16,524",11.37,"93,414",-11.19,-34.34,
175,JB금융지주,"7,610",100,-1.30%,"5,000","14,990","196,983",40.96,"537,670",3.75,10.06,
176,솔루엠,"30,050",50,+0.17%,500,"14,967","49,806",8.18,"1,183,664",29.40,43.26,
177,종근당,"130,000",500,+0.39%,"2,500","14,854","11,426",7.63,"31,993",16.73,17.88,
178,NHN,"75,300",900,-1.18%,500,"14,732","19,565",12.98,"67,028",54.96,1.35,
179,녹십자홀딩스,"31,300",200,-0.63%,500,"14,720","47,028",4.78,"71,141",8.31,19.74,
180,SK네트웍스,"5,910",260,-4.21%,"2,500","14,668","248,188",13.72,"2,821,613",14.17,1.63,
181,롯데리츠,"5,870",20,-0.34%,500,"14,262","242,969",10.22,"222,528",34.13,1.83,
182,KODEX 단기채권PLUS,"103,160",10,+0.01%,0,"14,225","13,789",0.00,"1,817,621",N/A,N/A,
183,LG생활건강우,"672,000",0,0.00%,"5,000","14,110","2,100",84.82,"6,960",14.49,N/A,
184,KODEX 종합채권(AA-이상)액티브,"109,785",90,+0.08%,0,"13,960","12,716",0.00,"38,845",N/A,N/A,
185,KODEX 레버리지,"28,120",440,+1.59%,0,"13,779","49,000",5.78,"13,607,942",N/A,N/A,
186,신세계인터내셔날,"192,000","1,500",-0.78%,"5,000","13,709","7,140",5.21,"24,960",19.68,8.24,
187,TIGER 차이나전기차SOLACTIVE,"16,880",380,-2.20%,0,"13,666","80,960",2.47,"7,301,225",N/A,N/A,
188,코스맥스,"119,500","4,000",-3.24%,500,"13,563","11,350",24.06,"116,537",37.59,6.23,
189,아시아나항공,"18,150",100,+0.55%,"5,000","13,506","74,412",19.75,"665,650",-20.12,-43.83,
190,롯데관광개발,"19,300",200,+1.05%,500,"13,370","69,276",6.19,"284,066",-10.79,-30.43,
191,롯데칠성,"142,500",500,-0.35%,500,"13,222","9,279",8.83,"41,079",192.05,-1.00,
192,LG전자우,"74,900",400,-0.53%,"5,000","12,872","17,186",41.18,"56,073",6.98,N/A,
193,TIGER TOP10,"14,825",55,+0.37%,0,"12,742","85,950",0.18,"175,324",N/A,N/A,
194,코스모신소재,"41,950",250,-0.59%,"1,000","12,621","30,087",8.49,"1,072,507",75.72,7.16,
195,영풍,"684,000",0,0.00%,"5,000","12,600","1,842",4.39,"1,619",9.21,4.03,
196,이노션,"61,800",600,-0.96%,500,"12,360","20,000",30.07,"25,768",21.04,8.28,
197,KODEX 200TR,"14,090",95,+0.68%,0,"12,343","87,600",0.02,"89,950",N/A,N/A,
198,세방전지,"88,100",400,-0.45%,500,"12,334","14,000",25.44,"38,586",15.99,6.14,
199,티와이홀딩스,"30,700",950,-3.00%,500,"12,333","40,172",5.96,"241,529",1.16,N/A,
200,두산인프라코어,"15,700",600,-3.68%,"5,000","12,295","78,309",9.77,"1,260,266",14.94,6.47,
